time,datetime,PS,QV10M,T10M,U50M,V50M
978307200000,2001-01-01 00:00:00,97730.4375,0.0027146069332957268,271.62176513671875,-2.8463797569274902,8.477246284484863
978310800000,2001-01-01 01:00:00,97701.125,0.0026816478930413723,272.4814453125,-1.5340558290481567,9.715014457702637
978314400000,2001-01-01 02:00:00,97677.78125,0.002694786759093404,273.2121276855469,-1.175516128540039,11.346196174621582
978318000000,2001-01-01 03:00:00,97618.4921875,0.0027930315118283033,273.82537841796875,-1.2055420875549316,12.886394500732422
978321600000,2001-01-01 04:00:00,97554.9375,0.002927568042650819,274.37615966796875,-1.3124083280563354,13.390314102172852
978325200000,2001-01-01 05:00:00,97535.4609375,0.003031680826097727,274.7040100097656,-1.0706913471221924,13.246112823486328
978328800000,2001-01-01 06:00:00,97514.03125,0.0031351002398878336,274.6842041015625,-1.3417998552322388,13.137722969055176
978332400000,2001-01-01 07:00:00,97499.71875,0.0032145637087523937,275.14208984375,-1.0464037656784058,13.955669403076172
978336000000,2001-01-01 08:00:00,97510.390625,0.0033523812890052795,275.80267333984375,-0.7687598466873169,13.83073902130127
978339600000,2001-01-01 09:00:00,97528.578125,0.003531665774062276,277.303955078125,-0.12160384654998779,15.129000663757324
978343200000,2001-01-01 10:00:00,97525.46875,0.003889489686116576,279.343994140625,0.14657998085021973,15.592642784118652
978346800000,2001-01-01 11:00:00,97463.4609375,0.004313876386731863,280.5835876464844,0.11746656894683838,15.226905822753906
978350400000,2001-01-01 12:00:00,97397.703125,0.004652515519410372,280.9088134765625,-0.15240693092346191,14.761518478393555
978354000000,2001-01-01 13:00:00,97350.4140625,0.004909282084554434,280.6193542480469,-0.517519474029541,14.321224212646484
978357600000,2001-01-01 14:00:00,97314.7421875,0.005067108664661646,279.9815368652344,-0.9379932880401611,13.99734115600586
978361200000,2001-01-01 15:00:00,97273.421875,0.005156537052243948,279.4554138183594,-1.3713657855987549,13.675044059753418
978364800000,2001-01-01 16:00:00,97248.046875,0.005202210508286953,279.2197570800781,-1.4490305185317993,13.318681716918945
978368400000,2001-01-01 17:00:00,97217.7890625,0.00521546695381403,279.1588134765625,-1.554865837097168,13.175085067749023
978372000000,2001-01-01 18:00:00,97183.1328125,0.0052535743452608585,279.2172546386719,-1.6067407131195068,13.428258895874023
978375600000,2001-01-01 19:00:00,97132.5078125,0.005289827007800341,279.0345153808594,-1.6902302503585815,13.310067176818848
978379200000,2001-01-01 20:00:00,97089.8203125,0.005314674694091082,278.869384765625,-1.347717523574829,13.170730590820312
978382800000,2001-01-01 21:00:00,97059.8828125,0.005389146972447634,278.96771240234375,-1.0714287757873535,13.323663711547852
978386400000,2001-01-01 22:00:00,97047.4375,0.0056029572151601315,279.7481994628906,-0.6178719997406006,14.384799003601074
978390000000,2001-01-01 23:00:00,97040.3984375,0.005845530889928341,280.32568359375,-0.5709265470504761,14.7129545211792
978393600000,2001-01-02 00:00:00,97033.8359375,0.006069385912269354,280.8972473144531,-0.6087663173675537,14.938821792602539
978397200000,2001-01-02 01:00:00,97010.4453125,0.006348276045173407,281.5819091796875,-0.5194332599639893,14.549274444580078
978400800000,2001-01-02 02:00:00,96984.578125,0.006559931673109531,282.0732727050781,-0.20718133449554443,14.309693336486816
978404400000,2001-01-02 03:00:00,96958.3203125,0.006645939778536558,282.2861328125,0.11508345603942871,14.276960372924805
978408000000,2001-01-02 04:00:00,96956.609375,0.006650974508374929,282.2248229980469,0.3344351053237915,13.790483474731445
978411600000,2001-01-02 05:00:00,96966.9296875,0.0066335867159068584,282.07794189453125,0.5952339172363281,13.120299339294434
978415200000,2001-01-02 06:00:00,96970.3125,0.006597919389605522,281.83935546875,0.6572519540786743,11.973139762878418
978418800000,2001-01-02 07:00:00,96967.5078125,0.00657679932191968,281.7413330078125,0.5739076733589172,11.243707656860352
978422400000,2001-01-02 08:00:00,96972.4140625,0.006784305442124605,282.37640380859375,0.3891396224498749,9.941662788391113
978426000000,2001-01-02 09:00:00,96998.1953125,0.007180988322943449,283.367431640625,0.5427448749542236,8.367507934570312
978429600000,2001-01-02 10:00:00,97023.4609375,0.007565941195935011,284.6033935546875,0.6817038059234619,7.6483154296875
978433200000,2001-01-02 11:00:00,97001.921875,0.00765497051179409,285.6693115234375,1.9292110204696655,7.963770866394043
978436800000,2001-01-02 12:00:00,96983.7578125,0.007412392646074295,286.15704345703125,3.0399341583251953,7.197860240936279
978440400000,2001-01-02 13:00:00,96987.734375,0.007074310444295406,286.1104736328125,3.479808807373047,6.260432720184326
978444000000,2001-01-02 14:00:00,97022.96875,0.007056655362248421,285.2298583984375,3.430269956588745,5.458089351654053
978447600000,2001-01-02 15:00:00,97066.3984375,0.00660629803314805,283.14154052734375,3.269951581954956,5.745023250579834
978451200000,2001-01-02 16:00:00,97128.1953125,0.006293236277997494,282.08489990234375,3.2121212482452393,6.611845016479492
978454800000,2001-01-02 17:00:00,97181.5859375,0.006128817331045866,281.5938415527344,2.7991244792938232,7.4731125831604
978458400000,2001-01-02 18:00:00,97218.4921875,0.005933958571404219,280.9891357421875,2.366581916809082,7.727124214172363
978462000000,2001-01-02 19:00:00,97264.734375,0.005788878537714481,280.27862548828125,2.3445229530334473,7.352398872375488
978465600000,2001-01-02 20:00:00,97330.96875,0.005682036746293306,279.78717041015625,3.0482096672058105,7.0219292640686035
978469200000,2001-01-02 21:00:00,97397.8046875,0.0056016636081039906,279.30963134765625,3.3946032524108887,6.667928218841553
978472800000,2001-01-02 22:00:00,97454.453125,0.00550038693472743,278.96844482421875,2.935962200164795,6.630439758300781
